run-id,use_vernalisation_fix,yields,bgr,nc_mode,crop-id,sim.json,crop.json,site.json,incl_hist,gcm,rcm,scenario,ensmem,version,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3
1,true,false,false,false,WW,sim.json,crop.json,site.json,true,CCCma-CanESM2,CLMcom-CCLM4-8-17,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
2,true,false,false,false,WG,sim.json,crop.json,site.json,true,CCCma-CanESM2,CLMcom-CCLM4-8-17,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
3,false,false,false,false,WR,sim.json,crop.json,site.json,true,CCCma-CanESM2,CLMcom-CCLM4-8-17,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
4,false,false,false,false,WRa,sim.json,crop.json,site.json,true,CCCma-CanESM2,CLMcom-CCLM4-8-17,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
5,false,false,false,false,SG,sim.json,crop.json,site.json,true,CCCma-CanESM2,CLMcom-CCLM4-8-17,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
6,true,false,false,false,ZR,sim.json,crop.json,site.json,true,CCCma-CanESM2,CLMcom-CCLM4-8-17,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
7,true,false,false,false,SM,sim.json,crop.json,site.json,true,CCCma-CanESM2,CLMcom-CCLM4-8-17,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
8,false,false,false,false,KA,sim.json,crop.json,site.json,true,CCCma-CanESM2,CLMcom-CCLM4-8-17,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
9,true,false,false,false,WW,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,CLMcom-CCLM4-8-17,rcp26,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
10,true,false,false,false,WG,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,CLMcom-CCLM4-8-17,rcp26,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
11,false,false,false,false,WR,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,CLMcom-CCLM4-8-17,rcp26,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
12,false,false,false,false,WRa,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,CLMcom-CCLM4-8-17,rcp26,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
13,false,false,false,false,SG,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,CLMcom-CCLM4-8-17,rcp26,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
14,true,false,false,false,ZR,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,CLMcom-CCLM4-8-17,rcp26,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
15,true,false,false,false,SM,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,CLMcom-CCLM4-8-17,rcp26,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
16,false,false,false,false,KA,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,CLMcom-CCLM4-8-17,rcp26,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
17,true,false,false,false,WW,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp26,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
18,true,false,false,false,WG,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp26,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
19,false,false,false,false,WR,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp26,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
20,false,false,false,false,WRa,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp26,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
21,false,false,false,false,SG,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp26,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
22,true,false,false,false,ZR,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp26,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
23,true,false,false,false,SM,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp26,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
24,false,false,false,false,KA,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp26,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
25,true,false,false,false,WW,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
26,true,false,false,false,WG,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
27,false,false,false,false,WR,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
28,false,false,false,false,WRa,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
29,false,false,false,false,SG,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
30,true,false,false,false,ZR,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
31,true,false,false,false,SM,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
32,false,false,false,false,KA,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
33,true,false,false,false,WW,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
34,true,false,false,false,WG,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
35,false,false,false,false,WR,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
36,false,false,false,false,WRa,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
37,false,false,false,false,SG,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
38,true,false,false,false,ZR,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
39,true,false,false,false,SM,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
40,false,false,false,false,KA,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
41,true,false,false,false,WW,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
42,true,false,false,false,WG,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
43,false,false,false,false,WR,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
44,false,false,false,false,WRa,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
45,false,false,false,false,SG,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
46,true,false,false,false,ZR,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
47,true,false,false,false,SM,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
48,false,false,false,false,KA,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
49,true,false,false,false,WW,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,SMHI-RCA4,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
50,true,false,false,false,WG,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,SMHI-RCA4,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
51,false,false,false,false,WR,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,SMHI-RCA4,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
52,false,false,false,false,WRa,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,SMHI-RCA4,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
53,false,false,false,false,SG,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,SMHI-RCA4,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
54,true,false,false,false,ZR,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,SMHI-RCA4,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
55,true,false,false,false,SM,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,SMHI-RCA4,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
56,false,false,false,false,KA,sim.json,crop.json,site.json,true,ICHEC-EC-EARTH,SMHI-RCA4,rcp45,r12i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
57,true,false,false,false,WW,sim.json,crop.json,site.json,true,MIROC-MIROC5,CLMcom-CCLM4-8-17,rcp26,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
58,true,false,false,false,WG,sim.json,crop.json,site.json,true,MIROC-MIROC5,CLMcom-CCLM4-8-17,rcp26,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
59,false,false,false,false,WR,sim.json,crop.json,site.json,true,MIROC-MIROC5,CLMcom-CCLM4-8-17,rcp26,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
60,false,false,false,false,WRa,sim.json,crop.json,site.json,true,MIROC-MIROC5,CLMcom-CCLM4-8-17,rcp26,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
61,false,false,false,false,SG,sim.json,crop.json,site.json,true,MIROC-MIROC5,CLMcom-CCLM4-8-17,rcp26,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
62,true,false,false,false,ZR,sim.json,crop.json,site.json,true,MIROC-MIROC5,CLMcom-CCLM4-8-17,rcp26,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
63,true,false,false,false,SM,sim.json,crop.json,site.json,true,MIROC-MIROC5,CLMcom-CCLM4-8-17,rcp26,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
64,false,false,false,false,KA,sim.json,crop.json,site.json,true,MIROC-MIROC5,CLMcom-CCLM4-8-17,rcp26,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
65,true,false,false,false,WW,sim.json,crop.json,site.json,true,MIROC-MIROC5,GERICS-REMO2015,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
66,true,false,false,false,WG,sim.json,crop.json,site.json,true,MIROC-MIROC5,GERICS-REMO2015,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
67,false,false,false,false,WR,sim.json,crop.json,site.json,true,MIROC-MIROC5,GERICS-REMO2015,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
68,false,false,false,false,WRa,sim.json,crop.json,site.json,true,MIROC-MIROC5,GERICS-REMO2015,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
69,false,false,false,false,SG,sim.json,crop.json,site.json,true,MIROC-MIROC5,GERICS-REMO2015,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
70,true,false,false,false,ZR,sim.json,crop.json,site.json,true,MIROC-MIROC5,GERICS-REMO2015,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
71,true,false,false,false,SM,sim.json,crop.json,site.json,true,MIROC-MIROC5,GERICS-REMO2015,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
72,false,false,false,false,KA,sim.json,crop.json,site.json,true,MIROC-MIROC5,GERICS-REMO2015,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
73,true,false,false,false,WW,sim.json,crop.json,site.json,true,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp45,r1i1p1,v1,1970-01-01,2099-11-30,false,false,true,true,true,false,false,false,false,true,false,false,false,,
74,true,false,false,false,WG,sim.json,crop.json,site.json,true,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp45,r1i1p1,v1,1970-01-01,2099-11-30,false,false,true,true,true,false,false,false,false,true,false,false,false,,
75,false,false,false,false,WR,sim.json,crop.json,site.json,true,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp45,r1i1p1,v1,1970-01-01,2099-11-30,false,false,true,true,true,false,false,false,false,true,false,false,false,,
76,false,false,false,false,WRa,sim.json,crop.json,site.json,true,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp45,r1i1p1,v1,1970-01-01,2099-11-30,false,false,true,true,true,false,false,false,false,true,false,false,false,,
77,false,false,false,false,SG,sim.json,crop.json,site.json,true,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp45,r1i1p1,v1,1970-01-01,2099-11-30,false,false,true,true,true,false,false,false,false,true,false,false,false,,
78,true,false,false,false,ZR,sim.json,crop.json,site.json,true,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp45,r1i1p1,v1,1970-01-01,2099-11-30,false,false,true,true,true,false,false,false,false,true,false,false,false,,
79,true,false,false,false,SM,sim.json,crop.json,site.json,true,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp45,r1i1p1,v1,1970-01-01,2099-11-30,false,false,true,true,true,false,false,false,false,true,false,false,false,,
80,false,false,false,false,KA,sim.json,crop.json,site.json,true,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp45,r1i1p1,v1,1970-01-01,2099-11-30,false,false,true,true,true,false,false,false,false,true,false,false,false,,
81,true,false,false,false,WW,sim.json,crop.json,site.json,true,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
82,true,false,false,false,WG,sim.json,crop.json,site.json,true,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
83,false,false,false,false,WR,sim.json,crop.json,site.json,true,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
84,false,false,false,false,WRa,sim.json,crop.json,site.json,true,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
85,false,false,false,false,SG,sim.json,crop.json,site.json,true,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
86,true,false,false,false,ZR,sim.json,crop.json,site.json,true,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
87,true,false,false,false,SM,sim.json,crop.json,site.json,true,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
88,false,false,false,false,KA,sim.json,crop.json,site.json,true,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp85,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
89,true,false,false,false,WW,sim.json,crop.json,site.json,true,MOHC-HadGEM2-ES,KNMI-RACMO22E,rcp26,r1i1p1,v2,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
90,true,false,false,false,WG,sim.json,crop.json,site.json,true,MOHC-HadGEM2-ES,KNMI-RACMO22E,rcp26,r1i1p1,v2,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
91,false,false,false,false,WR,sim.json,crop.json,site.json,true,MOHC-HadGEM2-ES,KNMI-RACMO22E,rcp26,r1i1p1,v2,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
92,false,false,false,false,WRa,sim.json,crop.json,site.json,true,MOHC-HadGEM2-ES,KNMI-RACMO22E,rcp26,r1i1p1,v2,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
93,false,false,false,false,SG,sim.json,crop.json,site.json,true,MOHC-HadGEM2-ES,KNMI-RACMO22E,rcp26,r1i1p1,v2,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
94,true,false,false,false,ZR,sim.json,crop.json,site.json,true,MOHC-HadGEM2-ES,KNMI-RACMO22E,rcp26,r1i1p1,v2,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
95,true,false,false,false,SM,sim.json,crop.json,site.json,true,MOHC-HadGEM2-ES,KNMI-RACMO22E,rcp26,r1i1p1,v2,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
96,false,false,false,false,KA,sim.json,crop.json,site.json,true,MOHC-HadGEM2-ES,KNMI-RACMO22E,rcp26,r1i1p1,v2,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
97,true,false,false,false,WW,sim.json,crop.json,site.json,true,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp26,r2i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
98,true,false,false,false,WG,sim.json,crop.json,site.json,true,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp26,r2i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
99,false,false,false,false,WR,sim.json,crop.json,site.json,true,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp26,r2i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
100,false,false,false,false,WRa,sim.json,crop.json,site.json,true,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp26,r2i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
101,false,false,false,false,SG,sim.json,crop.json,site.json,true,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp26,r2i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
102,true,false,false,false,ZR,sim.json,crop.json,site.json,true,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp26,r2i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
103,true,false,false,false,SM,sim.json,crop.json,site.json,true,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp26,r2i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
104,false,false,false,false,KA,sim.json,crop.json,site.json,true,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp26,r2i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
105,true,false,false,false,WW,sim.json,crop.json,site.json,true,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp45,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
106,true,false,false,false,WG,sim.json,crop.json,site.json,true,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp45,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
107,false,false,false,false,WR,sim.json,crop.json,site.json,true,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp45,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
108,false,false,false,false,WRa,sim.json,crop.json,site.json,true,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp45,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
109,false,false,false,false,SG,sim.json,crop.json,site.json,true,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp45,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
110,true,false,false,false,ZR,sim.json,crop.json,site.json,true,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp45,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
111,true,false,false,false,SM,sim.json,crop.json,site.json,true,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp45,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
112,false,false,false,false,KA,sim.json,crop.json,site.json,true,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp45,r1i1p1,v1,1970-01-01,2099-12-31,false,false,true,true,true,false,false,false,false,true,false,false,false,,
